time	x_a	x_e	x_r	
0	1	1	1
0.01	1.00005	1.0001	1.00015
0.02	1.0002	1.0003	1.0004
0.03	1.00045	1.0006	1.00075
0.04	1.0008	1.001	1.0012
0.05	1.00125	1.0015	1.00175
0.06	1.0018	1.0021	1.0024
0.07	1.00245	1.0028	1.00315
0.08	1.00321	1.00361	1.00401
0.09	1.00406	1.00451	1.00496
0.1	1.00501	1.00551	1.00602
0.11	1.00607	1.00662	1.00718
0.12	1.00723	1.00783	1.00844
0.13	1.00849	1.00914	1.0098
0.14	1.00985	1.01055	1.01126
0.15	1.01131	1.01207	1.01283
0.16	1.01288	1.01369	1.0145
0.17	1.01455	1.01541	1.01628
0.18	1.01633	1.01724	1.01816
0.19	1.01821	1.01917	1.02015
0.2	1.0202	1.02121	1.02224
0.21	1.02229	1.02335	1.02444
0.22	1.0245	1.0256	1.02675
0.23	1.0268	1.02796	1.02917
0.24	1.02922	1.03043	1.03169
0.25	1.03174	1.03301	1.03433
0.26	1.03438	1.03569	1.03707
0.27	1.03712	1.03849	1.03993
0.28	1.03998	1.0414	1.04289
0.29	1.04295	1.04442	1.04598
0.3	1.04603	1.04755	1.04917
0.31	1.04922	1.0508	1.05248
0.32	1.05253	1.05416	1.05591
0.33	1.05596	1.05764	1.05945
0.34	1.0595	1.06123	1.06311
0.35	1.06316	1.06495	1.06689
0.36	1.06695	1.06878	1.07079
0.37	1.07085	1.07274	1.07482
0.38	1.07487	1.07681	1.07896
0.39	1.07902	1.08101	1.08323
0.4	1.08329	1.08534	1.08763
0.41	1.08768	1.08979	1.09215
0.42	1.09221	1.09436	1.0968
0.43	1.09686	1.09907	1.10158
0.44	1.10164	1.1039	1.1065
0.45	1.10655	1.10887	1.11154
0.46	1.1116	1.11397	1.11672
0.47	1.11678	1.11921	1.12204
0.48	1.1221	1.12458	1.1275
0.49	1.12755	1.13009	1.13309
0.5	1.13315	1.13574	1.13883
0.51	1.13889	1.14153	1.14471
0.52	1.14477	1.14747	1.15073
0.53	1.15079	1.15355	1.15691
0.54	1.15696	1.15978	1.16323
0.55	1.16329	1.16616	1.1697
0.56	1.16976	1.17269	1.17633
0.57	1.17639	1.17937	1.18311
0.58	1.18317	1.18621	1.19006
0.59	1.19012	1.19321	1.19716
0.6	1.19722	1.20037	1.20442
0.61	1.20448	1.20769	1.21185
0.62	1.21191	1.21518	1.21945
0.63	1.21951	1.22284	1.22722
0.64	1.22728	1.23066	1.23516
0.65	1.23522	1.23866	1.24328
0.66	1.24334	1.24684	1.25157
0.67	1.25163	1.25519	1.26005
0.68	1.26011	1.26373	1.26871
0.69	1.26877	1.27245	1.27756
0.7	1.27762	1.28135	1.2866
0.71	1.28666	1.29045	1.29583
0.72	1.29589	1.29974	1.30526
0.73	1.30532	1.30923	1.31489
0.74	1.31495	1.31892	1.32472
0.75	1.32478	1.32881	1.33476
0.76	1.33482	1.33891	1.34501
0.77	1.34508	1.34922	1.35547
0.78	1.35554	1.35974	1.36615
0.79	1.36622	1.37049	1.37706
0.8	1.37713	1.38145	1.38819
0.81	1.38826	1.39264	1.39955
0.82	1.39962	1.40406	1.41114
0.83	1.41121	1.41571	1.42298
0.84	1.42305	1.42761	1.43505
0.85	1.43512	1.43974	1.44737
0.86	1.44745	1.45212	1.45995
0.87	1.46002	1.46476	1.47278
0.88	1.47285	1.47765	1.48587
0.89	1.48594	1.4908	1.49923
0.9	1.4993	1.50421	1.51286
0.91	1.51293	1.5179	1.52676
0.92	1.52684	1.53187	1.54095
0.93	1.54103	1.54611	1.55543
0.94	1.5555	1.56065	1.5702
0.95	1.57027	1.57547	1.58526
0.96	1.58534	1.5906	1.60063
0.97	1.60071	1.60603	1.61632
0.98	1.6164	1.62176	1.63232
0.99	1.6324	1.63782	1.64864
1	1.64872	1.6542	1.66529
1.01	1.66537	1.67091	1.68228
1.02	1.68236	1.68795	1.69961
1.03	1.6997	1.70534	1.71729
1.04	1.71738	1.72307	1.73533
1.05	1.73542	1.74116	1.75374
1.06	1.75383	1.75962	1.77252
1.07	1.7726	1.77845	1.79167
1.08	1.79176	1.79765	1.81122
1.09	1.81131	1.81725	1.83116
1.1	1.83125	1.83724	1.85151
1.11	1.8516	1.85763	1.87227
1.12	1.87236	1.87844	1.89345
1.13	1.89354	1.89966	1.91506
1.14	1.91516	1.92132	1.93712
1.15	1.93721	1.94342	1.95962
1.16	1.95972	1.96596	1.98258
1.17	1.98268	1.98896	2.00601
1.18	2.00611	2.01243	2.02993
1.19	2.03003	2.03638	2.05433
1.2	2.05443	2.06081	2.07923
1.21	2.07934	2.08575	2.10465
1.22	2.10476	2.1112	2.13059
1.23	2.1307	2.13716	2.15707
1.24	2.15718	2.16367	2.18409
1.25	2.1842	2.19071	2.21167
1.26	2.21179	2.21831	2.23983
1.27	2.23994	2.24649	2.26857
1.28	2.26868	2.27524	2.29791
1.29	2.29802	2.30459	2.32786
1.3	2.32798	2.33455	2.35844
1.31	2.35856	2.36513	2.38966
1.32	2.38978	2.39635	2.42153
1.33	2.42165	2.42823	2.45408
1.34	2.4542	2.46076	2.48731
1.35	2.48743	2.49398	2.52124
1.36	2.52136	2.5279	2.55589
1.37	2.55602	2.56253	2.59127
1.38	2.5914	2.5979	2.62741
1.39	2.62755	2.63401	2.66432
1.4	2.66446	2.67088	2.70202
1.41	2.70216	2.70854	2.74053
1.42	2.74066	2.74701	2.77986
1.43	2.78	2.78629	2.82004
1.44	2.82018	2.82641	2.86108
1.45	2.86123	2.86739	2.90302
1.46	2.90316	2.90926	2.94586
1.47	2.946	2.95202	2.98963
1.48	2.98978	2.99571	3.03436
1.49	3.03451	3.04035	3.08006
1.5	3.08022	3.08595	3.12677
1.51	3.12692	3.13255	3.1745
1.52	3.17466	3.18017	3.22328
1.53	3.22344	3.22882	3.27314
1.54	3.2733	3.27855	3.3241
1.55	3.32427	3.32937	3.3762
1.56	3.37637	3.3813	3.42945
1.57	3.42962	3.43439	3.48389
1.58	3.48407	3.48865	3.53955
1.59	3.53973	3.54412	3.59646
1.6	3.59664	3.60083	3.65465
1.61	3.65483	3.6588	3.71415
1.62	3.71434	3.71807	3.775
1.63	3.77519	3.77868	3.83723
1.64	3.83742	3.84065	3.90087
1.65	3.90107	3.90402	3.96597
1.66	3.96617	3.96883	4.03255
1.67	4.03276	4.03511	4.10067
1.68	4.10087	4.1029	4.17035
1.69	4.17056	4.17224	4.24164
1.7	4.24185	4.24316	4.31458
1.71	4.3148	4.31572	4.38921
1.72	4.38943	4.38995	4.46558
1.73	4.46581	4.4659	4.54374
1.74	4.54397	4.5436	4.62372
1.75	4.62395	4.62312	4.70558
1.76	4.70582	4.70448	4.78938
1.77	4.78961	4.78775	4.87515
1.78	4.87539	4.87298	4.96295
1.79	4.9632	4.9602	5.05284
1.8	5.05309	5.04949	5.14487
1.81	5.14513	5.14088	5.2391
1.82	5.23936	5.23445	5.33559
1.83	5.33586	5.33024	5.4344
1.84	5.43468	5.42831	5.5356
1.85	5.53588	5.52874	5.63924
1.86	5.63953	5.63157	5.7454
1.87	5.74569	5.73688	5.85415
1.88	5.85444	5.84473	5.96554
1.89	5.96584	5.9552	6.07967
1.9	6.07997	6.06835	6.1966
1.91	6.19691	6.18425	6.3164
1.92	6.31672	6.30299	6.43917
1.93	6.43949	6.42464	6.56498
1.94	6.56531	6.54928	6.69392
1.95	6.69426	6.67699	6.82608
1.96	6.82642	6.80786	6.96154
1.97	6.96188	6.94197	7.10039
1.98	7.10075	7.07942	7.24274
1.99	7.24311	7.2203	7.38869
2	7.38906	7.36471	7.53832
2.01	7.5387	7.51274	7.69176
2.02	7.69215	7.6645	7.84911
2.03	7.8495	7.82009	8.01047
2.04	8.01088	7.97962	8.17598
2.05	8.17638	8.1432	8.34573
2.06	8.34615	8.31095	8.51986
2.07	8.52029	8.48298	8.69849
2.08	8.69893	8.65943	8.88176
2.09	8.88221	8.84041	9.0698
2.1	9.07025	9.02606	9.26274
2.11	9.2632	9.21651	9.46073
2.12	9.46121	9.4119	9.66393
2.13	9.66441	9.61238	9.87247
2.14	9.87296	9.81808	10.0865
2.15	10.087	10.0292	10.3062
2.16	10.3068	10.2458	10.5318
2.17	10.5323	10.4681	10.7634
2.18	10.7639	10.6963	11.0012
2.19	11.0017	10.9306	11.2453
2.2	11.2459	11.1711	11.496
2.21	11.4966	11.4179	11.7535
2.22	11.7541	11.6714	12.0179
2.23	12.0185	11.9317	12.2896
2.24	12.2902	12.199	12.5686
2.25	12.5692	12.4734	12.8552
2.26	12.8559	12.7553	13.1497
2.27	13.1504	13.0449	13.4523
2.28	13.453	13.3423	13.7632
2.29	13.7639	13.6478	14.0827
2.3	14.0834	13.9617	14.4111
2.31	14.4118	14.2843	14.7486
2.32	14.7494	14.6157	15.0955
2.33	15.0963	14.9562	15.4522
2.34	15.453	15.3062	15.8188
2.35	15.8196	15.6659	16.1958
2.36	16.1966	16.0356	16.5834
2.37	16.5842	16.4156	16.9819
2.38	16.9828	16.8063	17.3918
2.39	17.3927	17.208	17.8134
2.4	17.8143	17.621	18.247
2.41	18.2479	18.0457	18.693
2.42	18.694	18.4824	19.1519
2.43	19.1528	18.9315	19.6239
2.44	19.6249	19.3934	20.1097
2.45	20.1107	19.8685	20.6095
2.46	20.6105	20.3573	21.1238
2.47	21.1248	20.8601	21.6531
2.48	21.6542	21.3775	22.198
2.49	22.1991	21.9098	22.7588
2.5	22.7599	22.4575	23.3361
2.51	23.3372	23.0212	23.9304
2.52	23.9316	23.6013	24.5423
2.53	24.5436	24.1984	25.1724
2.54	25.1737	24.8131	25.8213
2.55	25.8226	25.4458	26.4895
2.56	26.4909	26.0972	27.1778
2.57	27.1791	26.7679	27.8867
2.58	27.8881	27.4585	28.617
2.59	28.6184	28.1697	29.3693
2.6	29.3708	28.9021	30.1444
2.61	30.1459	29.6565	30.9431
2.62	30.9446	30.4335	31.7661
2.63	31.7677	31.2339	32.6143
2.64	32.6159	32.0585	33.4884
2.65	33.4901	32.908	34.3895
2.66	34.3912	33.7834	35.3183
2.67	35.32	34.6854	36.2758
2.68	36.2776	35.6149	37.263
2.69	37.2648	36.573	38.2809
2.7	38.2828	37.5604	39.3305
2.71	39.3325	38.5783	40.4129
2.72	40.415	39.6277	41.5293
2.73	41.5314	40.7095	42.6808
2.74	42.683	41.8249	43.8687
2.75	43.8708	42.9751	45.094
2.76	45.0963	44.1612	46.3583
2.77	46.3606	45.3845	47.6627
2.78	47.6651	46.6462	49.0088
2.79	49.0113	47.9476	50.3979
2.8	50.4004	49.2902	51.8316
2.81	51.8342	50.6752	53.3114
2.82	53.3141	52.1043	54.8389
2.83	54.8417	53.5788	56.4158
2.84	56.4187	55.1004	58.0439
2.85	58.0468	56.6708	59.725
2.86	59.7279	58.2916	61.4608
2.87	61.4639	59.9646	63.2535
2.88	63.2566	61.6915	65.1049
2.89	65.1082	63.4744	67.0172
2.9	67.0206	65.3152	68.9927
2.91	68.9961	67.2159	71.0334
2.92	71.0369	69.1786	73.1418
2.93	73.1455	71.2055	75.3203
2.94	75.3241	73.2989	77.5715
2.95	77.5754	75.4612	79.8979
2.96	79.9019	77.6949	82.3024
2.97	82.3065	80.0024	84.7877
2.98	84.7919	82.3865	87.3567
2.99	87.3611	84.8499	90.0126
3	90.0171	87.3954	92.7586
3.01	92.7632	90.026	95.5978
3.02	95.6026	92.7447	98.5338
3.03	98.5388	95.5549	101.57
3.04	101.575	98.4598	104.711
3.05	104.716	101.463	107.959
3.06	107.964	104.568	111.319
3.07	111.325	107.778	114.795
3.08	114.801	111.097	118.392
3.09	118.398	114.53	122.113
3.1	122.119	118.081	125.964
3.11	125.971	121.753	129.95
3.12	129.957	125.552	134.075
3.13	134.082	129.481	138.345
3.14	138.352	133.547	142.765
3.15	142.772	137.754	147.341
3.16	147.348	142.107	152.079
3.17	152.087	146.612	156.985
3.18	156.993	151.274	162.065
3.19	162.074	156.1	167.327
3.2	167.335	161.095	172.777
3.21	172.785	166.266	178.422
3.22	178.431	171.62	184.27
3.23	184.279	177.163	190.328
3.24	190.338	182.903	196.606
3.25	196.615	188.847	203.11
3.26	203.121	195.004	209.851
3.27	209.862	201.381	216.838
3.28	216.849	207.986	224.079
3.29	224.091	214.829	231.586
3.3	231.597	221.918	239.367
3.31	239.379	229.263	247.436
3.32	247.448	236.875	255.801
3.33	255.814	244.763	264.476
3.34	264.489	252.938	273.472
3.35	273.486	261.411	282.803
3.36	282.817	270.195	292.481
3.37	292.496	279.3	302.521
3.38	302.536	288.741	312.936
3.39	312.952	298.529	323.743
3.4	323.759	308.679	334.956
3.41	334.973	319.205	346.593
3.42	346.61	330.122	358.669
3.43	358.687	341.445	371.203
3.44	371.222	353.191	384.214
3.45	384.233	365.376	397.721
3.46	397.741	378.018	411.743
3.47	411.764	391.135	426.303
3.48	426.324	404.746	441.421
3.49	441.443	418.872	457.122
3.5	457.145	433.533	473.428
3.51	473.452	448.75	490.365
3.52	490.39	464.546	507.959
3.53	507.984	480.944	526.236
3.54	526.262	497.969	545.226
3.55	545.253	515.647	564.957
3.56	564.985	534.004	585.461
3.57	585.491	553.068	606.77
3.58	606.8	572.868	628.917
3.59	628.949	593.434	651.938
3.6	651.971	614.798	675.869
3.61	675.903	636.992	700.749
3.62	700.784	660.051	726.617
3.63	726.654	684.011	753.516
3.64	753.553	708.909	781.488
3.65	781.527	734.784	810.58
3.66	810.62	761.677	840.839
3.67	840.881	789.631	872.314
3.68	872.358	818.689	905.059
3.69	905.104	848.899	939.126
3.7	939.173	880.308	974.574
3.71	974.622	912.968	1011.46
3.72	1011.51	946.93	1049.85
3.73	1049.9	982.25	1089.8
3.74	1089.86	1018.99	1131.39
3.75	1131.44	1057.2	1174.68
3.76	1174.74	1096.95	1219.75
3.77	1219.81	1138.3	1266.67
3.78	1266.74	1181.33	1315.54
3.79	1315.6	1226.1	1366.42
3.8	1366.49	1272.7	1419.41
3.81	1419.49	1321.19	1474.61
3.82	1474.69	1371.66	1532.11
3.83	1532.18	1424.19	1592.01
3.84	1592.09	1478.88	1654.41
3.85	1654.49	1535.82	1719.43
3.86	1719.52	1595.1	1787.19
3.87	1787.28	1656.83	1857.8
3.88	1857.9	1721.11	1931.4
3.89	1931.5	1788.06	2008.11
3.9	2008.21	1857.8	2088.08
3.91	2088.18	1930.44	2171.45
3.92	2171.56	2006.11	2258.37
3.93	2258.49	2084.95	2349.01
3.94	2349.13	2167.1	2443.53
3.95	2443.65	2252.7	2542.11
3.96	2542.24	2341.91	2644.93
3.97	2645.06	2434.88	2752.18
3.98	2752.32	2531.79	2864.07
3.99	2864.22	2632.81	2980.81
4	2980.96	2738.12	3102.61
4.01	3102.77	2847.92	3229.72
4.02	3229.88	2962.4	3362.37
4.03	3362.53	3081.79	3500.81
4.04	3500.99	3206.29	3645.32
4.05	3645.5	3336.15	3796.18
4.06	3796.37	3471.6	3953.67
4.07	3953.87	3612.89	4118.11
4.08	4118.32	3760.3	4289.82
4.09	4290.03	3914.09	4469.13
4.1	4469.36	4074.57	4656.41
4.11	4656.64	4242.04	4852.02
4.12	4852.26	4416.81	5056.35
4.13	5056.6	4599.22	5269.81
4.14	5270.08	4789.63	5492.84
4.15	5493.11	4988.4	5725.87
4.16	5726.16	5195.92	5969.39
4.17	5969.69	5412.59	6223.89
4.18	6224.2	5638.83	6489.88
4.19	6490.21	5875.1	6767.93
4.2	6768.26	6121.85	7058.59
4.21	7058.94	6379.58	7362.46
4.22	7362.83	6648.8	7680.19
4.23	7680.58	6930.05	8012.43
4.24	8012.84	7223.88	8359.88
4.25	8360.3	7530.89	8723.27
4.26	8723.71	7851.71	9103.37
4.27	9103.83	8186.98	9500.98
4.28	9501.45	8537.38	9916.94
4.29	9917.44	8903.64	10352.2
4.3	10352.7	9286.49	10807.5
4.31	10808.1	9686.74	11284.1
4.32	11284.7	10105.2	11782.8
4.33	11783.4	10542.8	12304.9
4.34	12305.5	11000.3	12851.3
4.35	12851.9	11478.8	13423.3
4.36	13424	11979.3	14022.2
4.37	14022.9	12502.8	14649.3
4.38	14650.1	13050.4	15306
4.39	15306.8	13623.3	15993.7
4.4	15994.5	14222.8	16714
4.41	16714.8	14850	17468.4
4.42	17469.3	15506.4	18258.8
4.43	18259.7	16193.3	19086.8
4.44	19087.7	16912.3	19954.3
4.45	19955.3	17664.9	20863.4
4.46	20864.4	18452.7	21816
4.47	21817.1	19277.6	22814.5
4.48	22815.6	20141.2	23861
4.49	23862.2	21045.5	24958
4.5	24959.3	21992.6	26108.1
4.51	26109.4	22984.5	27313.9
4.52	27315.2	24023.3	28578.2
4.53	28579.6	25111.6	29904.1
4.54	29905.6	26251.7	31294.6
4.55	31296.1	27446.1	32753
4.56	32754.6	28697.7	34282.8
4.57	34284.5	30009.2	35887.7
4.58	35889.5	31383.6	37571.5
4.59	37573.3	32824.1	39338.1
4.6	39340.1	34334	41192
4.61	41194.1	35916.8	43137.6
4.62	43139.7	37576.1	45179.6
4.63	45181.8	39315.9	47322.9
4.64	47325.3	41140.2	49572.9
4.65	49575.4	43053.2	51935.1
4.66	51937.7	45059.5	54415.3
4.67	54418	47163.7	57019.6
4.68	57022.4	49371	59754.5
4.69	59757.5	51686.5	62626.9
4.7	62630	54115.8	65643.9
4.71	65647.2	56664.6	68813.1
4.72	68816.6	59339.2	72142.6
4.73	72146.2	62145.9	75640.7
4.74	75644.5	65091.7	79316.4
4.75	79320.4	68183.5	83179
4.76	83183.1	71429	87238.4
4.77	87242.8	74836.2	91505.1
4.78	91509.7	78413.4	95990.1
4.79	95994.9	82169.4	100705
4.8	100710	86113.5	105662
4.81	105667	90255.6	110874
4.82	110880	94605.9	116355
4.83	116361	99175.4	122119
4.84	122125	103975	128181
4.85	128188	109018	134558
4.86	134565	114317	141266
4.87	141273	119884	148323
4.88	148331	125734	155749
4.89	155757	131882	163562
4.9	163571	138345	171785
4.91	171794	145137	180439
4.92	180448	152278	189548
4.93	189558	159786	199137
4.94	199147	167679	209232
4.95	209243	175979	219861
4.96	219872	184708	231052
4.97	231064	193888	242838
4.98	242850	203543	255250
4.99	255263	213700	268324
